phase,time_s,teacher_action0,teacher_action1,teacher_action2,teacher_action3,hold_s,forward_ft,position_error_ft,cross_track_ft,altitude_ft,forward_speed_fps,lateral_speed_fps,mission_ground_forward_speed_fps,mission_ground_cross_speed_fps,vertical_speed_fps,heading_error_rad,heading_error_deg,pitch_rad,roll_rad,roll_rate_rad_s,pitch_rate_rad_s,yaw_rate_rad_s,rotor_rpm,physical_collective_cmd,physical_elevator_cmd,physical_aileron_cmd,physical_rudder_cmd,vs_des_fps,vertical_bias_effective,collective_residual,mapped_physical_elevator_cmd,settle30_s,mode,vertical_bias_state,feedforward_mode,feedforward_collective,requested_physical_collective,applied_physical_collective,hover9_s,touchdown_elapsed_s,ramp_baseline_collective,ramp_rate_per_s,contact_collective_reference,vs_error_fps,desired_physical_collective,wow_detected,max_compression_ft,target_landed_collective,landed_hold_s
capture_to_9ft,493.1999999999481,-1.0,0.5844419598579407,0.20260921120643616,0.0,,298.0798542306934,1.9201457693066004,-2.6398745771003616,9.585396717079675,-0.00018515507381205347,0.19149237492422047,0.0010476107202117533,0.1913608729680433,0.007101124958193139,-0.00616647579871632,-0.3533130377360085,-0.0074263302339805425,-0.04266838901519757,-0.0013923348098140035,-2.9656276297316646e-05,0.0003636802835008517,324.19584928118275,0.561036336341996,-0.17903889510035514,0.19621783949136734,0.39,-0.0584898413931569,,,-0.17903889510035514,,,,local_extrapolation,0.5619493638982291,0.561036336341996,0.561036336341996,0.0,,,,,,,,,,
capture_to_9ft,493.2749999999481,-1.0,0.5844735503196716,0.1971483826637268,0.0,,298.07993292859,1.920067071410017,-2.625091827187929,9.585943422019227,-0.00028479747931892336,0.2025453982888297,0.0010095000226410709,0.202429301146534,0.006991244977610687,-0.006137289230234266,-0.3516407705435173,-0.007427292319463042,-0.04277301326231466,-0.0013465440389198986,-2.913642103694161e-05,0.0004201457090022983,324.1956813172131,0.561033396366504,-0.1790388161242008,0.19607585794925692,0.39,-0.058539671707967506,,,-0.1790388161242008,,,,local_extrapolation,0.5619523675198302,0.561033396366504,0.561033396366504,0.0,,,,,,,,,,
capture_to_9ft,493.34999999994807,-1.0,0.5846969485282898,0.1918015480041504,0.0,,298.08001592776645,1.9199840722335466,-2.6094467084535675,9.5865222939251,-0.00016601720503204177,0.21472443097097707,0.001204522509003789,0.21456742073325785,0.0081865173179971,-0.006103998961546342,-0.3497333786488427,-0.007428012886325621,-0.04287718265827519,-0.0014061324411613002,-2.7771054546648477e-05,0.0004722088251695516,324.19548936493965,0.5610374646723686,-0.17903825762867925,0.19593684024810792,0.39,-0.0585943422019227,,,-0.17903825762867925,,,,local_extrapolation,0.561955662892882,0.5610374646723686,0.5610374646723686,0.0,,,,,,,,,,
capture_to_9ft,493.42499999994806,-1.0,0.5843952298164368,0.1859743744134903,0.0,,298.08010453701013,1.9198954629898708,-2.592941498562361,9.587141694320962,-0.0002973194284328906,0.22529045593845032,0.0011268758043204172,0.22515899207380521,0.007838534594617905,-0.00606665546854801,-0.34759375410776194,-0.0074284263115870835,-0.042981935635588435,-0.0013393266545477724,-2.554605579965078e-05,0.0005293174053574382,324.1952983405375,0.5610234097047911,-0.1790390119254589,0.19578533373475077,0.39,-0.05865222939250998,,,-0.1790390119254589,,,,local_extrapolation,0.5619591521587383,0.5610234097047911,0.5610234097047911,0.0,,,,,,,,,,
capture_to_9ft,493.49999999994805,-1.0,0.584692656993866,0.18062575161457062,0.0,,298.0801975597366,1.9198024402634246,-2.575590869554789,9.587795286146047,-0.0002755182117020476,0.23664662000270875,0.0012121394051428373,0.23649987092869038,0.008434778359861898,-0.006025342162859548,-0.34522667605407925,-0.007428534481794778,-0.04308784507349769,-0.0013700609456605594,-2.5031607197552138e-05,0.0005800346037177345,324.1950974161593,0.5610311478617764,-0.17903826835751532,0.19564626954197883,0.39,-0.058714169432096244,,,-0.17903826835751532,,,,local_extrapolation,0.5619628857181505,0.5610311478617764,0.5610311478617764,0.0,,,,,,,,,,
capture_to_9ft,493.57499999994803,-1.0,0.5846217274665833,0.17491602897644043,0.0,,298.08029586650997,1.919704133490029,-2.5573984672609535,9.588489810053488,-0.0002717872573017965,0.24776398164210472,0.0012752639931139704,0.24760650794258368,0.008923043440336903,-0.00598029126117483,-0.34264544952428605,-0.007428465098754853,-0.043194603709882706,-0.0013643862649130199,-2.4533245695545635e-05,0.0006288283639497812,324.1948826605152,0.5610258250755785,-0.17903844568133354,0.19549781675338745,0.39,-0.05877952861460472,,,-0.17903844568133354,,,,local_extrapolation,0.5619668253732211,0.5610258250755785,0.5610258250755785,0.0,,,,,,,,,,
capture_to_9ft,493.649999999948,-1.0,0.5845931172370911,0.1692057102918625,0.0,,298.08039788194833,1.919602118051671,-2.5383821080201456,9.589216585543,-0.00012695825101463176,0.2596710769144908,0.0014890763078322326,0.25946145939012494,0.01036294701282708,-0.005931678486484238,-0.33986014270409476,-0.007428149316060464,-0.04330080416772739,-0.0014745221300863942,-2.358414034707912e-05,0.0006698077743367619,324.1946689484049,0.5610222034123415,-0.17903851720690728,0.19534934846758845,0.39,-0.058848981005348834,,,-0.17903851720690728,,,,local_extrapolation,0.5619710117545812,0.5610222034123415,0.5610222034123415,0.0,,,,,,,,,,
capture_to_9ft,493.724999999948,-1.0,0.5842251181602478,0.1631365865468979,0.0,,298.08050450002156,1.9194954999784386,-2.5185447408112496,9.589981907358833,-0.0001616059471341554,0.2703031660964291,0.0015051751714981018,0.27009392883513705,0.010589447894812781,-0.005879854635214343,-0.3368908547482161,-0.007427603740743929,-0.04340808251291107,-0.0014430633835501464,-2.2007439590209405e-05,0.0007120509367945456,324.1944823848837,0.5610054080608442,-0.17903943720459936,0.19519155125021936,0.39,-0.05892165855429994,,,-0.17903943720459936,,,,local_extrapolation,0.561975392538784,0.5610054080608442,0.5610054080608442,0.0,,,,,,,,,,
capture_to_9ft,493.799999999948,-1.0,0.5842869281768799,0.15743163228034973,0.0,,298.0806162932881,1.9193837067119262,-2.4978891743574554,9.590790729274886,-0.00026618233945500166,0.28034921469436364,0.00144240815403395,0.2801623218042045,0.010310822359767689,-0.005825209675831111,-0.3337599292038931,-0.0074268485653784955,-0.04351669158288266,-0.0013836014850578536,-2.095548689196559e-05,0.0007495261777121919,324.1943095978025,0.5610057787278263,-0.1790392826795578,0.1950432224392891,0.39,-0.05899819073588333,,,-0.1790392826795578,,,,local_extrapolation,0.561980005668656,0.5610057787278263,0.5610057787278263,0.0,,,,,,,,,,
capture_to_9ft,493.874999999948,-1.0,0.5845155715942383,0.15184995532035828,0.0,,298.08073015863596,1.9192698413640414,-2.4764419482506344,9.591624176832738,-0.00018447464811353897,0.2915350402278236,0.0015802659485287833,0.29131231924341355,0.011365488635601436,-0.005768132004765557,-0.3304896195474009,-0.007425923470735558,-0.04362486486267943,-0.0014268228867434273,-2.0390091260362134e-05,0.000776466577777792,324.1941093287054,0.5610134224700356,-0.1790387110710144,0.19489809883832931,0.39,-0.059079072927488596,,,-0.1790387110710144,,,,local_extrapolation,0.5619848810040572,0.5610134224700356,0.5610134224700356,0.0,,,,,,,,,,
