hover_trim,lateral_kp,lateral_kd,same_fdm_object,sim_clock_reset,safe,termination_reason,lateral_activated,activation_forward_ft,activation_forward_speed_fps,activation_cross_ft,endpoint_hover_5s,persistent_stop_at_final,persistent_lateral_at_final,persistent_hover_at_final,current_stop_hold_s,current_lateral_hold_s,current_full_hover_hold_s,max_stop_hold_s,max_lateral_hold_s,max_full_hover_hold_s,presentation_cross_pass,presentation_altitude_pass,teacher_pass,final_forward_ft,final_position_error_ft,final_forward_speed_fps,final_cross_ft,final_lateral_speed_fps,final_alt_ft,final_vs_fps,final_heading_error_deg,max_cross_ft,min_alt_ft,max_alt_ft,max_abs_pitch_deg,max_abs_roll_deg,max_abs_heading_error_deg,action2_min,action2_max
-0.059816740100913215,0.045,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.7571627467282,-1.757162746728227,0.4627573901073915,-2.067552296132306,-0.07218824689733315,299.3500871164497,0.013005285242020617,0.11542369885288488,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9145033184484763,0.22141265278731942,-0.23000000417232513,0.06511642783880234
-0.059816740100913215,0.045,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.76037553075497,-1.7603755307549704,0.46214646142721283,-1.7733103904531813,-0.061757440625421205,299.3523210258927,0.012777054860565223,0.11665019883846031,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21787418227871055,-0.23000000417232513,0.07171478122472763
-0.029816740100913213,0.015,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.69936903085784,-1.699369030857838,0.45963252245300346,-1.175493566058716,-0.17638411013709468,299.34774200078164,0.011735493080704281,0.09701197720377959,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.2114612282689571,-0.23000000417232513,0.015644535422325134
-0.029816740100913213,0.015,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.74649696004894,-1.746496960048944,0.4595600855507488,-1.302812229602301,-0.13204304857242163,299.3507384145287,0.011916847478757923,0.10453447417478415,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.20935145546939005,-0.23000000417232513,0.022556809708476067
-0.029816740100913213,0.015,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.75341549387207,-1.753415493872069,0.4605623770641972,-1.3602171309096664,-0.10187154678227178,299.35255902261497,0.012011055534110013,0.1095237170996547,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.20721765654971538,-0.23000000417232513,0.029432523995637894
-0.029816740100913213,0.025,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.6921408219928,-1.6921408219927798,0.4607215930342671,-1.2912704587325778,-0.18647969500207487,299.3453909341215,0.01210793678088802,0.09555662008641555,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.2200867959295045,-0.23000000417232513,0.03985846787691116
-0.029816740100913213,0.025,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.70946618830874,-1.7094661883087383,0.46221261627341664,-1.179216837188657,-0.13225864101306464,299.3484363040611,0.012139134657736202,0.10442441701405658,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21705904037068993,-0.23000000417232513,0.04658883064985275
-0.029816740100913213,0.025,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.75252007306415,-1.7525200730641473,0.461039608762193,-1.1125131528461363,-0.09806766663345023,299.3518461782128,0.012190971045436733,0.10989605550120257,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.21410570876158344,-0.23000000417232513,0.05333847180008888
-0.029816740100913213,0.035,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.40000000000094,5.025000000000007,5.025000000000007,62.40000000000094,5.025000000000007,True,True,True,301.69342962238596,-1.6934296223859633,0.4633122137687059,-1.6388341481399757,-0.16585495634286743,299.344231294936,0.012613882973738659,0.09957798131218477,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.922414694827685,0.22809928746736202,-0.23000000417232513,0.06405337899923325
-0.029816740100913213,0.035,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.74589641626784,-1.7458964162678399,0.46165422149582835,-1.3003879669282412,-0.11617724031666475,299.348627055982,0.01255799626603988,0.10730451455382019,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.2241918379328996,-0.23000000417232513,0.07061967998743057
-0.029816740100913213,0.035,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.7537149255866,-1.7537149255866211,0.4616943127888345,-1.0818058609860177,-0.08733872889685018,299.35140651528263,0.012460081957895835,0.111662768694521,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9139295183801037,0.22046918537726434,-0.23000000417232513,0.07725532352924347
-0.029816740100913213,0.045,0.1,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.73973325384213,-1.7397332538421324,0.4645151413859521,-1.933075315365936,-0.10672778924900575,299.3458703679148,0.013266848087593541,0.10985121461013005,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.938421335998517,0.2355065642217508,-0.23000000417232513,0.08822907507419586
-0.029816740100913213,0.045,0.18,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.7524012367295,-1.7524012367294972,0.46307160299385997,-1.4198669679999936,-0.0789692561238215,299.3492653219305,0.013038365692885084,0.1135981308538426,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9254661723061846,0.2307707662649867,-0.23000000417232513,0.0946478396654129
-0.029816740100913213,0.045,0.26,True,False,True,endpoint_hover_5s,True,235.48909359440952,3.9965743539861105,-2.3924147615045035,True,True,True,True,5.025000000000007,62.47500000000094,5.025000000000007,5.025000000000007,62.47500000000094,5.025000000000007,True,True,True,301.75704357887497,-1.7570435788749705,0.4623386033118456,-1.1049834536932124,-0.06506728278262876,299.35185225249506,0.012790637191534376,0.11534702829588467,4.161967335332553,298.6477209252348,304.98935536554745,0.8180604085855905,2.9151593232469697,0.22631547036189625,-0.23000000417232513,0.10118167847394943
