time,distance,ground_forward,cross,altitude,vertical_speed,lateral_velocity,heading_error_deg,roll_deg,a0,a1,a2,a3
17.925,105.63876071934318,105.24823353954267,-3.7457466552430785,299.3092179583982,0.3474038120555033,-0.01884805004368359,-0.06575692011137398,-2.7128517858442707,-0.5263097286224365,-0.03289991244673729,-0.23000000417232513,0.0
18.0,106.45551800421329,106.06449027998627,-3.7495624153890796,299.335381376668,0.3502742740421037,-0.014208137545809074,-0.06587766421432062,-2.712513426773078,-0.527468204498291,-0.03314602002501488,-0.23000000417232513,0.0
18.075,107.27347694910958,106.88195660682072,-3.7530384852484286,299.3617573631718,0.35307222520188714,-0.00957545438262375,-0.06589948919438661,-2.7121836071102154,-0.5286323428153992,-0.03338770940899849,-0.23000000417232513,0.0
18.15,108.0926173812594,107.70061222103942,-3.7561737280913854,299.3883404541789,0.35579687636274937,-0.004948732130848094,-0.06582864164340964,-2.7118616897780807,-0.5298019647598267,-0.03362489864230156,-0.23000000417232513,0.0
18.224999999999998,108.91291931774923,108.52043702063838,-3.7589670157079484,299.41512512085546,0.35844746649574394,-0.00032646499391209005,-0.06567270743185397,-2.711547115203258,-0.5309770703315735,-0.03385750949382782,-0.23000000417232513,0.0
18.3,109.73436296720209,109.34141107210704,-3.7614171859136603,299.4421057823124,0.3610232523655308,0.004293051997048103,-0.0654404645800147,-2.7112394089194054,-0.5321577787399292,-0.03408544883131981,-0.23000000417232513,0.0
18.375,110.5569287302987,110.16351465449068,-3.7635230807963946,299.46927679582814,0.3635235090465715,0.008911682519850944,-0.06514171768131824,-2.7109381845647786,-0.533344030380249,-0.03430863469839096,-0.23000000417232513,0.0
18.45,111.3805972009313,110.98672823606259,-3.76528353396648,299.4966324796287,0.3659475364441468,0.013531406279556402,-0.06478711714938945,-2.7106431488839395,-0.5345357656478882,-0.034527022391557693,-0.23000000417232513,0.0
18.525,112.20534916794205,111.81103247432296,-3.766697379054924,299.52416708036026,0.36829465926286603,0.018154274552382665,-0.06438796580569728,-2.710354104475302,-0.5357329845428467,-0.03474053740501404,-0.23000000417232513,0.0
18.599999999999998,113.03116561568012,112.63640822895701,-3.7677634752094713,299.5518748153736,0.37056422596225425,0.022782365072181954,-0.0639560165100712,-2.710070948408832,-0.5369356274604797,-0.03494914248585701,-0.23000000417232513,0.0
18.675,113.85802772592619,113.46283655665611,-3.7684806561047415,299.57974983693475,0.37275560939694324,0.027417737010054316,-0.06350326476433839,-2.7097936717137103,-0.5381436944007874,-0.035152774304151535,-0.23000000417232513,0.0
18.75,114.68591687867936,114.29029870592198,-3.7688478361693694,299.6077862647858,0.37486820621800143,0.032062386930321735,-0.06304173979018497,-2.709522354908694,-0.5393571257591248,-0.035351406782865524,-0.23000000417232513,0.0
18.825,115.51481465351172,115.11877614559425,-3.7688638831158725,299.63597816657875,0.376901430620559,0.03671820611273774,-0.0625832978925897,-2.7092571634744735,-0.5405760407447815,-0.0355449914932251,-0.23000000417232513,0.0
18.9,116.344702830512,115.94825052076901,-3.7685277539073008,299.66431955790677,0.3788547264123839,0.041386941252836734,-0.06213942185567539,-2.7089983408435403,-0.5418001413345337,-0.03573353588581085,-0.23000000417232513,0.0
