time_s,forward_ft,position_error_ft,forward_speed_fps,cross_track_ft,lateral_speed_fps,altitude_ft,vertical_speed_fps,heading_error_deg,pitch_deg,roll_deg,action0,action1,action2,action3,physical_aileron_cmd,stop_hold_s,lateral_hold_s,full_hover_hold_s
12.45,188.73960571508061,111.26039428491939,6.36142671355208,-3.2210850157739954,0.12648574941454815,304.70938073618754,-0.16578083711576025,0.1390351815223648,0.6087089983946262,-2.8359507656870577,-0.5697852969169617,-0.6626482605934143,-0.23683874309062958,-0.001399656175635755,0.18479219267964364,0.0,12.44999999999997,0.0
12.525,189.2154815887821,110.7845184112179,6.325873749825574,-3.2095558128927317,0.12628610625716208,304.6967043527047,-0.17224234193039728,0.14136751282299556,0.5981115111788543,-2.835078796809696,-0.5692818760871887,-0.6551411747932434,-0.23684221506118774,-0.0013851257972419262,0.18479210240840913,0.0,12.52499999999997,0.0
12.6,189.68870999477528,110.31129000522472,6.290749375392831,-3.198009222345438,0.12622011227953206,304.68354635423475,-0.17862384863451536,0.14290811798691377,0.5871474128012846,-2.8342715640865346,-0.5687680840492249,-0.6482226848602295,-0.2368745505809784,-0.0013704914599657059,0.18479126168489457,0.0,12.59999999999997,0.0
12.674999999999999,190.15932340263393,109.84067659736607,6.256067914514837,-3.1864425324993846,0.12627838013054857,304.6699127869779,-0.18492394165056636,0.14365620876753288,0.5758580015081263,-2.8335387400471976,-0.5682450532913208,-0.641873300075531,-0.23693342506885529,-0.0013557891361415386,0.18478973094820977,0.0,12.674999999999969,0.0
12.75,190.62735532391318,109.37264467608682,6.221842139419678,-3.1748536097144266,0.12644983440652194,304.6558098045216,-0.19114126913139676,0.14362455019560041,0.5642834635654748,-2.832888685607427,-0.5677135586738586,-0.6360691785812378,-0.23701582849025726,-0.0013410524697974324,0.18478758845925333,0.0,12.749999999999968,0.0
12.825,191.09284016698516,108.90715983301484,6.188083323432354,-3.163240932320007,0.12672193105852456,304.6412436678529,-0.1972745423250672,0.1428390637905744,0.5524625859572209,-2.832328370918673,-0.56717449426651,-0.6307799816131592,-0.23711763322353363,-0.001326314639300108,0.18478494153618813,0.0,12.824999999999967,0.0
12.9,191.55581313853787,108.44418686146213,6.154801293351786,-3.1516035906043967,0.12708089598009542,304.62622072255544,-0.20332254642070285,0.1413382110786203,0.5404324755865992,-2.8318633087273337,-0.5666288137435913,-0.6259723901748657,-0.23723413050174713,-0.0013116069603711367,0.1847819126069546,0.0,12.899999999999967,0.0
12.975,192.0163101502594,107.98368984974061,6.122004495161748,-3.1399412655589565,0.12751197928056437,304.61074741184484,-0.20928412624105217,0.13917216801015453,0.5282283305687282,-2.8314975164651472,-0.5660769939422607,-0.6216092705726624,-0.23735982179641724,-0.0012969570234417915,0.18477864463329316,0.0,12.974999999999966,0.0
13.049999999999999,192.47436768404472,107.52563231595528,6.089700067454201,-3.1282542458598432,0.12799971879761285,304.59483025702866,-0.21515819784586976,0.1364018087245848,0.5158832469519522,-2.831233501326187,-0.5655201077461243,-0.6176512241363525,-0.23748841881752014,-0.0012823976576328278,0.18477530111074447,0.0,13.049999999999965,0.0
13.125,192.93002272201343,107.06997727798657,6.057893917690924,-3.1165433726219565,0.12852820976490228,304.57847585427544,-0.22094374488296434,0.13309751867531447,0.5034280669218291,-2.831072261053353,-0.5649585723876953,-0.6140574812889099,-0.23761339485645294,-0.0012679505161941051,0.18477205173373223,0.0,13.124999999999964,0.0
13.2,193.38331264282388,106.61668735717612,6.026590801991195,-3.1048100393876075,0.1290813749758326,304.5616908941065,-0.2266398143739402,0.12933785816636512,0.49089127410098743,-2.831013321524741,-0.564393162727356,-0.6107868552207947,-0.23772762715816498,-0.0012536430731415749,0.18476908169388773,0.0,13.199999999999964,0.0
13.275,193.83427514391593,106.16572485608407,5.995794411747733,-3.093056124132293,0.12964323134193223,304.54448210935607,-0.23224551766769563,0.12520810311533886,0.47829893218392044,-2.8310547877887418,-0.5638243556022644,-0.6077978610992432,-0.23782390356063843,-0.0012394938385114074,0.1847665785074234,0.0,13.274999999999963,0.0
13.35,194.28294815338253,105.71705184661747,5.965507455427116,-3.08128394676398,0.1301981482033257,304.5268563109553,-0.23776002799528279,0.12079868904263602,0.4656746556794347,-2.8311934192395958,-0.5632527470588684,-0.6050509810447693,-0.23789481818675995,-0.0012255235342308879,0.18476473472714425,0.0,13.349999999999962,0.0
13.424999999999999,194.7293697677596,105.27063023224039,5.935731740796158,-3.0694962563689847,0.13073109346350487,304.50882036841267,-0.24318256960076443,0.11620358564756011,0.4530396367374309,-2.831424723268811,-0.5626785755157471,-0.6025081276893616,-0.23793308436870575,-0.0012117461301386356,0.18476373980641367,0.0,13.424999999999962,0.0
13.5,195.17357818205042,104.82642181794958,5.906468257719004,-3.057696116478402,0.13122786266877284,304.4903812130633,-0.2485124127399898,0.1115186318157785,0.4404127041317935,-2.8317430730555917,-0.5621022582054138,-0.6001340746879578,-0.23793181777000427,-0.001198176178149879,0.1847637727379799,0.0,13.499999999999961,0.0
13.575,195.61561161455742,104.38438838544258,5.87771725528222,-3.045886866817916,0.13167528890867064,304.4715458055234,-0.25374886940331703,0.10683986042786331,0.42781041785441737,-2.8321418400463254,-0.561523973941803,-0.5978968739509583,-0.2378843128681183,-0.001184819731861353,0.18476500786542893,0.0,13.57499999999996,0.0
13.65,196.05550828355936,103.94449171644064,5.849478311318395,-3.0340720638177356,0.132061429275206,304.45232119428647,-0.2588912822258663,0.10226184085873959,0.41524720083913386,-2.8326135354239734,-0.5609438419342041,-0.5957691073417664,-0.23778463900089264,-0.0011716849403455853,0.1847675993859768,0.0,13.64999999999996,0.0
13.725,196.4933063399195,103.50669366008049,5.82175040395888,-3.0222554423632557,0.13237572534368314,304.43271444736047,-0.26393901309565093,0.09787606784679583,0.4027355079397932,-2.8331499734415475,-0.5603618025779724,-0.5937266945838928,-0.23762765526771545,-0.0011587708722800016,0.18477168096303942,0.0,13.724999999999959,0.0
13.799999999999999,196.9290438308102,103.0709561691898,5.794531969531148,-3.0104407840687353,0.13260913573325286,304.4127326913208,-0.2688914462287477,0.09376942507290122,0.39028600291707677,-2.833742440383558,-0.5597780346870422,-0.591751754283905,-0.23740901052951813,-0.0011460803216323256,0.18477736572623255,0.0,13.799999999999958,0.0
